ReportID,Timestamp,ScreenLoadTime,DbQueryTime,MemoryUsage,GcEvents,ExceptionsLogged
1,2025-04-05T09:49:54.529821200,157,7,144,6,
2,2025-04-05T09:54:02.574322800,156,7,145,5,
3,2025-04-05T09:54:18.037824,55,-1,162,8,
4,2025-04-05T10:15:58.368321500,0,0,128,5,
5,2025-04-05T10:33:16.540821800,0,0,128,5,
6,2025-04-05T10:37:27.085822500,0,0,128,5,
7,2025-04-05T10:37:27.098822700,0,0,129,5,
8,2025-04-05T10:40:19.184823700,0,0,129,6,
9,2025-04-05T10:41:37.849822500,149,149,145,5,
10,2025-04-05T10:41:48.489822,87,87,104,16,
11,2025-04-05T10:44:56.026823100,140,140,147,6,
12,2025-04-05T10:47:10.688321300,145,145,145,5,
13,2025-04-05T10:48:08.616823300,235,235,143,9,
14,2025-04-05T10:48:11.365824200,0,0,155,19,
15,2025-04-05T10:48:24.214321800,0,0,1957,49,
16,2025-04-05T10:52:37.798323400,211,211,143,8,
17,2025-04-05T10:52:43.440822500,0,0,185,20,
18,2025-04-05T10:52:45.871822700,464,463,232,23,
19,2025-04-05T11:01:10.879321500,128,128,146,5,
20,2025-04-05T11:01:13.394821500,11,11,240,5,
21,2025-04-05T11:06:09.941821500,226,226,143,9,
22,2025-04-05T11:06:11.946322,0,0,124,12,
23,2025-04-05T11:38:23.439523100,131,131,146,6,
24,2025-04-05T12:01:59.984216900,169,168,144,8,
25,2025-04-05T12:02:01.767217,0,0,142,13,
26,2025-04-05T14:44:40.695057200,141,141,146,6,
27,2025-04-05T14:48:20.454556,157,157,143,8,
28,2025-04-05T14:49:20.155056500,147,146,143,9,
29,2025-04-05T14:51:48.918055500,166,166,143,9,
30,2025-04-05T14:52:47.686553300,179,179,143,9,
31,2025-04-05T14:54:20.685555500,169,169,142,10,
32,2025-04-05T14:55:00.435055800,130,129,146,6,
33,2025-04-05T14:56:43.958055300,149,149,145,6,
34,2025-04-05T14:57:27.841056200,156,155,142,8,
35,2025-04-05T14:59:30.543556100,269,269,144,6,
36,2025-04-05T16:11:45.965162100,26287,26287,149,6,
37,2025-04-05T16:11:51.922165,0,0,190,6,
38,2025-04-05T16:16:36.819663600,23715,23715,143,11,
39,2025-04-05T16:18:18.010994900,157,157,145,8,
40,2025-04-05T16:28:08.301359700,125,125,146,6,
41,2025-04-05T16:28:10.967451600,0,0,150,9,
42,2025-04-05T16:28:15.229110600,0,0,1954,35,
43,2025-04-05T16:31:05.357306500,94,94,1917,53,
44,2025-04-05T16:33:58.003412600,0,0,2051,68,
45,2025-04-05T16:34:14.202402700,72,71,264,71,
46,2025-04-05T16:37:37.306899300,153,153,143,9,
47,2025-04-05T16:38:32.555319400,138,138,144,8,
48,2025-04-05T16:57:08.932493800,94,94,162,11,
49,2025-04-05T16:58:58.519365500,140,140,146,8,
50,2025-04-05T16:59:41.309235700,7,7,184,18,
51,2025-04-05T17:02:24.329414400,148,147,144,9,
52,2025-04-05T17:02:27.742141500,8,8,161,12,
53,2025-04-05T17:03:03.173372100,162,161,149,8,
54,2025-04-05T17:03:05.894186400,8,8,168,15,
55,2025-04-05T17:14:01.779963200,167,166,143,9,
56,2025-04-05T17:14:05.088120900,8,8,195,12,
57,2025-04-05T17:35:21.174920700,132,132,142,8,
58,2025-04-05T17:35:23.022422900,24,24,172,17,
59,2025-04-05T17:36:11.939614100,100,100,234,23,
60,2025-04-05T17:36:13.998113,4,4,319,34,
61,2025-04-05T17:37:33.043385300,238,237,144,5,
62,2025-04-05T17:37:36.258385300,11,11,177,8,
63,2025-04-05T17:37:43.906477100,93,93,241,9,
64,2025-04-05T17:37:46.598765600,0,0,196,11,
65,2025-04-05T17:37:48.518362300,74,74,263,12,
66,2025-04-05T17:39:10.856503600,150,149,143,8,
67,2025-04-05T17:39:13.871948300,10,9,178,19,
68,2025-04-05T17:39:19.348565,121,121,234,24,
69,2025-04-05T17:39:24.873041,4,4,185,46,
70,2025-04-05T17:45:25.338815100,131,131,144,8,
71,2025-04-05T17:45:27.105815500,17,17,153,17,
72,2025-04-05T17:45:39.798163600,120,120,235,27,
73,2025-04-05T17:45:45.801990,4,4,90,38,
74,2025-04-05T17:45:50.857667500,225,225,162,38,
75,2025-04-05T17:45:59.062465800,4,4,228,42,
76,2025-04-05T17:46:00.644074,76,76,119,45,
77,2025-04-05T17:46:04.901268100,4,4,152,46,
78,2025-04-05T17:46:07.454972,69,69,186,48,
79,2025-04-05T17:46:09.808471900,0,0,172,49,
80,2025-04-05T17:46:13.101971800,3,3,102,51,
81,2025-04-05T17:46:17.789785,66,66,175,51,
82,2025-04-05T17:46:23.249199300,0,0,145,54,
83,2025-04-05T17:46:27.571887400,63,63,217,54,
84,2025-04-05T17:46:37.434397900,0,0,231,60,
85,2025-04-05T17:46:39.362289800,66,66,323,60,
86,2025-04-05T17:46:40.534966900,3,3,216,63,
87,2025-04-05T17:46:43.052823200,68,68,290,63,
88,2025-04-05T17:46:44.337664,0,0,200,66,
89,2025-04-05T17:46:46.284698200,0,0,226,66,
90,2025-04-05T17:46:52.457843500,63,63,294,66,
91,2025-04-05T17:46:53.105445100,0,0,237,69,
92,2025-04-05T17:46:54.670527200,0,0,285,69,
93,2025-04-05T17:46:59.342114200,63,63,319,70,
94,2025-04-05T17:47:05.580946,0,0,235,73,
95,2025-04-05T17:47:06.569111,0,0,261,73,
96,2025-04-05T17:47:11.167294800,63,63,303,74,
97,2025-04-05T18:09:39.529581100,0,0,258,78,
98,2025-04-05T18:09:42.792411800,61,60,351,78,
99,2025-04-05T18:09:44.475145500,0,0,403,79,
100,2025-04-05T18:09:46.945823100,62,62,325,81,
101,2025-04-05T18:09:48.629236900,0,0,456,82,
102,2025-04-05T18:09:50.464531600,60,60,333,84,
103,2025-04-05T18:09:51.886846500,0,0,439,85,
104,2025-04-05T18:09:53.050627800,0,0,447,85,
105,2025-04-05T18:09:56.035370600,0,0,470,85,
106,2025-04-05T18:10:00.321537300,69,69,313,87,
107,2025-04-05T18:10:01.144176800,3,3,438,87,
108,2025-04-05T18:16:38.627303500,162,162,144,8,
109,2025-04-05T18:16:40.818804900,11,11,183,16,
110,2025-04-05T18:17:07.548652200,117,117,237,22,
111,2025-04-05T18:17:16.771371900,4,4,214,28,
112,2025-04-05T18:17:18.583899500,88,88,270,34,
113,2025-04-05T18:17:19.487397300,0,0,176,45,
114,2025-04-05T18:17:21.242766300,0,0,208,45,
115,2025-04-05T18:17:26.892220500,70,70,280,45,
116,2025-04-05T18:17:27.703219400,0,0,388,45,
117,2025-04-05T18:17:31.528574200,0,0,2022,51,
118,2025-04-05T18:17:35.983873700,0,0,2006,52,
119,2025-04-05T18:17:40.557429900,108,108,1919,54,
120,2025-04-05T18:17:44.239041700,0,0,2143,54,
121,2025-04-05T18:17:47.602417700,0,0,3790,57,
122,2025-04-05T18:20:21.378210700,59,59,496,88,
123,2025-04-05T18:20:22.839264400,0,0,421,90,
124,2025-04-05T18:20:24.094239300,59,59,495,90,
125,2025-04-05T18:21:37.716704300,94,94,236,9,
126,2025-04-05T18:21:43.415230400,0,0,289,21,
127,2025-04-05T18:21:45.386897400,109,109,246,26,
128,2025-04-05T18:21:58.316160600,0,0,236,36,
129,2025-04-05T18:22:25.250296100,77,77,124,37,
130,2025-04-05T18:22:30.330091900,0,0,246,37,
131,2025-04-05T18:22:52.033715800,0,0,2018,54,
132,2025-04-05T18:29:11.367449100,76,76,2053,57,
133,2025-04-06T10:24:10.120329600,246,246,146,9,
134,2025-04-06T10:24:36.176127500,0,0,213,10,
135,2025-04-06T10:24:37.377127900,0,0,205,11,
136,2025-04-06T10:29:22.173935,125,125,103,17,
137,2025-04-06T10:29:58.715021800,0,0,202,28,
138,2025-04-06T10:30:15.395619900,151,151,150,5,
139,2025-04-06T10:30:17.160120600,0,0,174,8,
140,2025-04-06T10:30:18.643948,0,0,203,9,
141,2025-04-06T10:31:09.893651100,128,128,151,6,
142,2025-04-06T10:31:12.219044400,0,0,184,13,
143,2025-04-06T10:31:13.238225200,0,0,205,15,
144,2025-04-06T10:31:23.179039200,136,136,267,20,
145,2025-04-06T10:31:24.239536800,0,0,225,23,
146,2025-04-06T10:31:28.636873500,2,2,2007,41,
147,2025-04-06T10:54:29.908641500,163,163,147,9,
148,2025-04-06T10:54:32.141774400,0,0,199,12,
149,2025-04-06T10:55:10.578950,145,145,148,6,
150,2025-04-06T10:55:12.423451300,0,0,159,9,
151,2025-04-06T10:55:45.127674300,165,164,148,8,
152,2025-04-06T10:55:46.714175600,0,0,133,13,
153,2025-04-06T10:55:47.826175400,0,0,200,22,
154,2025-04-06T10:55:53.194131,0,0,1855,50,
155,2025-04-06T10:55:55.188559600,0,0,1873,52,
156,2025-04-06T10:56:02.124900100,0,0,1899,56,
157,2025-04-06T10:56:03.375295800,105,105,1939,61,
158,2025-04-06T10:56:52.197717200,152,151,148,6,
159,2025-04-06T10:56:54.355215800,0,0,182,15,
160,2025-04-06T10:56:55.450862600,0,0,204,16,
161,2025-04-06T10:56:57.454212300,0,0,229,17,
162,2025-04-06T10:56:59.254511400,93,93,277,24,
163,2025-04-06T10:57:00.191512400,0,0,340,25,
