2025-06-30 16:25:50 INFO  reports.DatabaseIntegrityLogger - Database integrity analysis complete: DatabaseIntegrityReport{Total=94, Missing=0, Duplicates=17, ForeignKeyOK=NO}
2025-06-30 16:30:13 INFO  reports.PerformanceTracker - System performance log inserted: ScreenLoadTime=179ms, DBQueryTime=179ms, Memory=159MB, GCEvents=20, Notes=null
2025-06-30 16:32:23 INFO  reports.PerformanceTracker - System performance log inserted: ScreenLoadTime=1ms, DBQueryTime=1ms, Memory=227MB, GCEvents=24, Notes=null
2025-06-30 16:33:04 INFO  reports.PerformanceTracker - System performance log inserted: ScreenLoadTime=0ms, DBQueryTime=0ms, Memory=255MB, GCEvents=27, Notes=null
2025-06-30 16:33:38 INFO  reports.PerformanceTracker - System performance log inserted: ScreenLoadTime=175ms, DBQueryTime=175ms, Memory=291MB, GCEvents=34, Notes=null
2025-06-30 16:33:52 INFO  reports.PerformanceTracker - System performance log inserted: ScreenLoadTime=0ms, DBQueryTime=0ms, Memory=360MB, GCEvents=36, Notes=null
2025-06-30 16:34:56 INFO  reports.PerformanceTracker - System performance log inserted: ScreenLoadTime=0ms, DBQueryTime=0ms, Memory=390MB, GCEvents=36, Notes=null
2025-06-30 16:35:24 INFO  reports.PerformanceTracker - System performance log inserted: ScreenLoadTime=1ms, DBQueryTime=1ms, Memory=323MB, GCEvents=38, Notes=null
2025-06-30 16:35:24 INFO  reports.PerformanceTracker - System performance log inserted: ScreenLoadTime=0ms, DBQueryTime=0ms, Memory=126MB, GCEvents=39, Notes=null
2025-06-30 16:35:26 INFO  reports.PerformanceTracker - System performance log inserted: ScreenLoadTime=110ms, DBQueryTime=110ms, Memory=207MB, GCEvents=39, Notes=null
2025-06-30 16:35:33 INFO  reports.PerformanceTracker - System performance log inserted: ScreenLoadTime=4ms, DBQueryTime=4ms, Memory=251MB, GCEvents=42, Notes=null
2025-06-30 16:37:20 INFO  reports.PerformanceTracker - System performance log inserted: ScreenLoadTime=109ms, DBQueryTime=109ms, Memory=339MB, GCEvents=42, Notes=null
2025-06-30 16:37:23 INFO  reports.PerformanceTracker - System performance log inserted: ScreenLoadTime=0ms, DBQueryTime=0ms, Memory=218MB, GCEvents=45, Notes=null
2025-06-30 16:37:24 INFO  reports.PerformanceTracker - System performance log inserted: ScreenLoadTime=0ms, DBQueryTime=0ms, Memory=258MB, GCEvents=46, Notes=null
2025-06-30 16:38:12 INFO  reports.PerformanceTracker - System performance log inserted: ScreenLoadTime=0ms, DBQueryTime=0ms, Memory=270MB, GCEvents=48, Notes=null
2025-06-30 16:38:38 INFO  reports.PerformanceTracker - System performance log inserted: ScreenLoadTime=112ms, DBQueryTime=112ms, Memory=349MB, GCEvents=48, Notes=null
2025-06-30 16:41:16 INFO  reports.DatabaseIntegrityLogger - Database integrity analysis complete: DatabaseIntegrityReport{Total=94, Missing=0, Duplicates=17, ForeignKeyOK=NO}
2025-06-30 16:41:32 INFO  reports.PerformanceTracker - System performance log inserted: ScreenLoadTime=186ms, DBQueryTime=186ms, Memory=160MB, GCEvents=6, Notes=null
